image_id,Keywords
pho005494,Ranch; UNLV Special Collections; Cattle
NYE-01593,"Men; Building Exterior; Tonopah, NV; Governor; Nevada Historical Society; Saloons"
ST-00406,"Fire; Building Fire; Crowds; Postcard; Nevada Historical Society; Hotels; Virginia City, NV"
ED-00039,"Fire; Building Fire; Grammar School; Nevada Historical Society; Elko, NV"
ELKO-00920,"Fire; Building Fire; Grammar School; Nevada Historical Society; Elko, NV"
EF-01708,"Fire; Building Fire; Nevada Historical Society; Fallon, NV"
ST-02595,"Fire; Mines; Headframes; Nevada Historical Society; Gold Hill, NV"
SMITH-0128,"Children; Building Interior; Tonopah, NV; Nevada Historical Society; Christmas"
