image_id,Archive,Caption,Description,Source URL,Keywords,Script Page,Downloaded,In Lightroom,Metadata Attached
ds.11840,Library of Congress,"San Francisco Chronicle, contestants for the world's championship, July 4, 1910 - James J. Jeffries and Jack Johnson","Johnson-Jeffries world heavyweight championship, Reno, Nevada, July 4, 1910. Library of Congress Prints and Photographs Division.",https://hdl.loc.gov/loc.pnp/ds.11840,Newspaper Headline; Boxing; Prizefight; Jack Johnson; James J. Jeffries; Men; Solo Portrait,P.33,true,,true
ggbain.08565,Library of Congress,"Boxer and announcer in the ring, Johnson-Jeffries fight, Reno, Nevada, July 4, 1910","Johnson-Jeffries world heavyweight championship, Reno, Nevada, July 4, 1910. Library of Congress Prints and Photographs Division.",https://hdl.loc.gov/loc.pnp/ggbain.08565,"Boxing; Prizefight; Boxing Ring; Crowds; Men; Reno, NV; Jack Johnson; James J. Jeffries; Candid / Not Posed",P.33,true,,true
ggbain.08566,Library of Congress,"Jeffries knock-out, Johnson-Jeffries world heavyweight championship, Reno, Nevada, July 4, 1910","Johnson-Jeffries world heavyweight championship, Reno, Nevada, July 4, 1910. Library of Congress Prints and Photographs Division.",https://hdl.loc.gov/loc.pnp/ggbain.08566,"Boxing; Prizefight; Boxing Ring; Jack Johnson; James J. Jeffries; Crowds; Men; Reno, NV; Candid / Not Posed",P.33,true,,true
ggbain.50113,Library of Congress,"Reno, Nevada, where Jeffries is training for the July 4, 1910 championship fight","Johnson-Jeffries world heavyweight championship, Reno, Nevada, July 4, 1910. Library of Congress Prints and Photographs Division.",https://hdl.loc.gov/loc.pnp/ggbain.50113,"Training Camp; Boxing; Prizefight; James J. Jeffries; Reno, NV; Street Scene; Crowds; Men",P.33,true,,true
nclc.03681,Library of Congress,"""Jeffries-Johnson Fight Extras, 7 P.M."" - newsboys selling fight extras, New York City, July 4, 1910","Johnson-Jeffries world heavyweight championship, Reno, Nevada, July 4, 1910. Library of Congress Prints and Photographs Division.",https://hdl.loc.gov/loc.pnp/nclc.03681,"Newsboys; Newspaper Headline; Prizefight; Boxing; Crowds; Children; Street Scene; New York City, NY",P.33,true,,true
nclc.03682,Library of Congress,"Newsboys scrambling for Johnson-Jeffries fight extras, Herald Square, New York City, July 4, 1910","Johnson-Jeffries world heavyweight championship, Reno, Nevada, July 4, 1910. Library of Congress Prints and Photographs Division.",https://hdl.loc.gov/loc.pnp/nclc.03682,"Newsboys; Newspaper Headline; Prizefight; Boxing; Crowds; Children; Street Scene; New York City, NY",P.33,true,,true
