image_id,Archive,Caption,Description,Source URL,Keywords,Script Page,Downloaded,In Lightroom,Metadata Attached
hln000101,UNLV Special Collections,"People gathered at the Las Vegas Townsite auction, 1905","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d17943t14,"Townsite Auction; Land Sale; Townsite; Crowds; Men; Las Vegas, NV",P.33,true,,true
pho013952,UNLV Special Collections,"Clark townsite auction, Las Vegas, May 15-16, 1905","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1b27pt1t,"Townsite Auction; Land Sale; Townsite; Crowds; Men; Las Vegas, NV; Tents",P.33,true,,true
pho015065,UNLV Special Collections,"People at Clark's Las Vegas Townsite auction, Las Vegas, May 15, 1905","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d18p5vc3v,"Townsite Auction; Land Sale; Townsite; Crowds; Men; Las Vegas, NV",P.33,true,,true
snv001865,UNLV Special Collections,"Surveyor and equipment in a canyon, Las Vegas, Nevada, 1900-1925","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1n873d4q,"Surveyors; Surveying Instruments; Railroad Survey; Landscape; Desert; Mountains; Las Vegas, NV",P.33,true,,true
snv001873,UNLV Special Collections,"Railroad surveyors' camp cook outside of a tent, Las Vegas, Nevada, 1900-1925","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1474757j,"Surveyors; Survey Camp; Railroad Survey; Cooks; Tents; Men; Las Vegas, NV",P.33,true,,true
snv001874,UNLV Special Collections,"Surveyor and instruments in a canyon, Las Vegas, Nevada, 1900-1925","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d10g3hc4w,"Surveyors; Surveying Instruments; Railroad Survey; Landscape; Desert; Mountains; Las Vegas, NV",P.33,true,,true
snv001894,UNLV Special Collections,"Surveyors' camp cook outside a tent, Las Vegas, Nevada, 1900-1925","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1p26qh9s,"Surveyors; Survey Camp; Railroad Survey; Cooks; Tents; Men; Las Vegas, NV",P.33,true,,true
