archive,catalog_id,title_caption,source_url,topic,script_pages,downloaded,in_lightroom,metadata_attached,archive_filename,keywords
USC Digital Library,CHS-33079,"Train crossing Santa Ana river, Riverside, 1904",https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ61RCFP5&PN=25&DocRID=2A3BF1YIGB0,,P.11,,Yes,Yes,,"Trains; Riverside, CA; Santa Ana River, CA; arch bridge; bridge; crossing"
Huntington Library,photCL 470 (007),"LA Street scenes, 1905 (Squires before LV)",https://hdl.huntington.org/digital/collection/p15150coll2/id/4217,,P.11,Yes,Yes,Yes,,"Street Scene; Charles “Pop” Squires; Los Angeles, CA; ca; hope; panorama; street scene"
Huntington Library,photCL Pierce 00059,"LA Street scenes, 1905",https://hdl.huntington.org/digital/collection/p15150coll2/id/3469,,P.11,Yes,Yes,Yes,,"Street Scene; Los Angeles, CA; LA; Bank; Building; California"
Huntington Library,photCL Pierce 00062,"LA Street scenes, 1905",https://hdl.huntington.org/digital/collection/p15150coll2/id/3470,,P.11,Yes,Yes,Yes,,"Street Scene; Los Angeles, CA; YMCA; architecture; california; carriage; commercial; pedestrians"
Huntington Library,photCL 470 (002),"LA Street scenes, 1905 (gallery upload)",https://hdl.huntington.org/digital/collection/p15150coll2/id/4229,,P.11,Yes,Yes,Yes,,"Aerial View; Los Angeles, CA; aerial; balloon; city; los angeles; panorama; town"
USC Digital Library,CHS-5711/CHS-5712,1914 Union League club in downtown panorama,https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ61RZE5O&PN=2&DocRID=2A3BF1QAVOR,,P.11 (loose),Yes,Yes,,,Union League Club; Downtown; Panorama
USC Digital Library,CHS-5711,1914 Union League club in downtown panorama - different angle,https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ6SGSZGA&PN=2&DocRID=2A3BF1QA2YD,,P.11 (loose),Yes,Yes,Yes,,Union League Club; Downtown; Panorama
UNLV Special Collections,pho019942,"Camping, drinking beer, group smiling",https://special.library.unlv.edu/ark%3A/62930/d1w950s5n,,"P.13-14, P.163-165",Yes,Yes,Yes,,Camping
Western Mining History / UNLV,,Couple and dog in tent by creek (near Las Vegas Springs),https://www.stgeorgeutah.com/opinion/las-vegas-springs-preserve-day-water-and-railroad-meets-sin-city/article_75a7444d-72a1-5b34-b053-55d70c4021d4.html,,P.13-14,,,,,
UNLV Special Collections,Pho019940,Johnnie Horden and others on Las Vegas Creek,https://special.library.unlv.edu/ark%3A/62930/d14q7qv1c,,P.13-14,Yes,Yes,Yes,,"Johnnie Horden; Las Vegas, NV; Las Vegas Creek, NV"
Over 50 Vegas,,"Squires and Brown in group (source page, image not yet located)",https://over50vegas.com/Pop_Squires_Observations.html,,P.14-17,,,,,
Reno Historical Society,,"Reno Mill & Lumber Company headquarters near the railroad tracks, Reno, Nevada (undated, pre-1913) -- pile of lumber and RR tracks in foreground",https://renohistorical.org/items/show/31,,P.17-21,Yes,,Yes,,
UNLV Special Collections,pho017607,"Westlake family, grocery",https://special.library.unlv.edu/ark%3A/62930/d1zg6gb2w,,"P.19, P.55",Yes,Yes,,,Families; Grocery Store; Westlake Family
Utah Historical Society,29904,"Train station, crowd of men in hats, 1910, SLC",https://collections.lib.utah.edu/ark:/87278/s6x06mxq,,P.19-23,Yes,Yes,Yes,,Crowds; Men; Trains; Train Station; 1910s Fashion
Utah Historical Society,29902,"Crowd of men and women with baggage waiting for train, 1910",https://collections.lib.utah.edu/ark:/87278/s65d95pn,,P.19-23,Yes,Yes,Yes,,First trains out of Salt Lake at the new Denver & Rio Grande Western
Utah Historical Society,29903,"Crowd of men and women with baggage, facing away from train, 1910",https://collections.lib.utah.edu/ark:/87278/s61n8f0s,,P.19-23,Yes,Yes,Yes,,First trains out of the new Denver & Rio Grande Western Railroad Depot
Utah Historical Society,29905,"Train station waiting room, group of men outside, 1910, SLC",https://collections.lib.utah.edu/ark:/87278/s6s75w7v,,P.19-23,Yes,Yes,Yes,,Western Pacific Railroad opening at the new Denver & Rio Grande Western Railroad Depot.
Utah Historical Society,22585,"RR dining car interior, people dressed up, 1905-6 (Peter Buol as cook)",https://collections.lib.utah.edu/ark:/87278/s6r50076,,P.19-23,Yes,Yes,Yes,,"San Pedro, Los Angeles and Salt Lake dining car, June, 1905"
UNLV Special Collections,pho017608,Group of people with mail cart,https://special.library.unlv.edu/ark%3A/62930/d1tt4fx12,,P.23,Yes,Yes,,,People
Private Source (Cragin-Pike Insurance),,Peter Buol's Insurance Co. building with sign,https://roughnotes.com/looking-back-looking-ahead-2/,,P.26,,,,,
UNLV Special Collections,Pho004751,Big Springs,https://special.library.unlv.edu/ark%3A/62930/d1vd6p460,,P.30-38,Yes,Yes,,,Horses; Automobile; Big Spring; Trees; Springs
Library of Congress,3c37464,"Eva wells, 1910 (low priority)",https://www.loc.gov/pictures/item/2007662551/,,P.30-38,Yes,Yes,Yes,,
UNLV Special Collections,Snv001051,"Tonopah mine, 1908",https://special.library.unlv.edu/ark:/62930/d16w96p9w,,P.38-42,Yes,Yes,Yes,,"Mines; Tonopah, NV"
UNLV Special Collections,Pho018532,8 men at Rawhide mine,https://special.library.unlv.edu/ark%3A/62930/d14x54m01,,P.38-42,Yes,Yes,,,Men; Mines
Utah Historical Society,39222001456750,"Stagecoach with men, Ely NV, 1906",https://collections.lib.utah.edu/ark:/87278/s6sb4gh4,,P.38-42,Yes,Yes,Yes,,"Men; Stagecoach; Ely, NV"
UNLV Special Collections,Snv000203,"Goldfield mine, 1908 (series)",https://special.library.unlv.edu/ark%3A/62930/d1qn5zr5p,,P.39,Yes,Yes,,,"Mines; Goldfield, NV"
UNLV Special Collections,Pho018544,"Goldfield mine, 1908",https://special.library.unlv.edu/ark%3A/62930/d1m03z18g,,P.39,Yes,Yes,,,"Mines; Goldfield, NV"
UNLV Special Collections,Snv000194,"Goldfield, wide view",https://special.library.unlv.edu/ark%3A/62930/d1mw28t9k,,P.39,Yes,Yes,,,"Goldfield, NV"
UNLV Special Collections,Pho023339,"Ely, building boom",https://special.library.unlv.edu/ark%3A/62930/d1mw28m0j,,P.40,Yes,Yes,,,"Ely, NV"
UNLV Special Collections,map000278,"Map of the Goldfield Mining District, Nye and Esmeralda Counties, Nevada, 1905",https://special.library.unlv.edu/ark:/62930/d1h12vp3c,,"Not obvious -- see note, may support P.41 context but is a map not a photo",Yes,Yes,Yes,,
UNLV Special Collections,Pho014500,3 men at Frenchman mine (incl. Earl Rockwell),https://special.library.unlv.edu/ark%3A/62930/d13t9d84z,,P.41,Yes,Yes,,,Men; Mines; Earl Rockwell
UNLV Special Collections,pho016483,"Crowd at a railroad station in Las Vegas, approximately 1905-1930 -- Governor Campbell of Arizona identified in crowd but not pinpointed [Fred and Maurine Wilson Photograph Collection]",http://n2t.net/ark:/62930/d1np1wn1s,,"P.41 — New WorkFlow (gold rush 1905, people arriving)",Yes,Yes,Yes,,
UNLV Special Collections,snv000021,"Pack trains and buggies crossing the desert, approximately 1901-1905 [Tonopah and Goldfield Mining Photograph Collection]",https://special.library.unlv.edu/node/54162,,P.41 — New WorkFlow (gold rush boom-town imagery),Yes,Yes,Yes,,
UNLV Special Collections,snv000207,"Photograph of Mohawk Mine and Tonopah Goldfield Train, Goldfield (Nev.), early 1900s [C. A. Earle Rinker Photograph Collection of Goldfield, Nevada]",http://n2t.net/ark:/62930/d1bc3tb1s,,P.41 — New WorkFlow (gold rush boom-town imagery),Yes,Yes,Yes,,
UNLV Special Collections,pho007216,"Photograph of mule freight team, circa 1890s-1910s [Stewart (Helen J.) Photographs (PH-00104)]",http://n2t.net/ark:/62930/d13775v61,,P.42-43,Yes,Yes,Yes,,
UNLV Special Collections,pho007074,"Transparency of freight team near Las Vegas, June 1906 [Stewart (Helen J.) Photographs (PH-00104)]",http://n2t.net/ark:/62930/d1f766693,,P.42-43,Yes,Yes,Yes,,
UNLV Special Collections,pho007073,"Transparency of freight team near Las Vegas, June 1906 [Stewart (Helen J.) Photographs (PH-00104)]",http://n2t.net/ark:/62930/d1k06x13g,,P.42-43,Yes,Yes,Yes,,Horses; Mules; Freight Hauling
UNLV Special Collections,pho007072,"Transparency of mule freight team, circa 1890s-1910s [Stewart (Helen J.) Photographs (PH-00104)]",http://n2t.net/ark:/62930/d1pr7mt7w,,P.42-43,Yes,Yes,Yes,,Horses; Mules; Freight Hauling; Caravan; Transparency
Utah Historical Society,18498,Wagons -- Freighting P.32,https://collections.lib.utah.edu/ark:/87278/s6bv8z0v,,P.42-43,Yes,Yes,Yes,,Freight Hauling; Freight Wagons
UNLV Special Collections,pho006145,"Photograph of Ed Clark, circa early to mid 1900s [Squires Family Photographs (PH-00002)]",http://n2t.net/ark:/62930/d1gf0mw37,,"P.42-43, P.90-104",Yes,Yes,Yes,,Ed Clark
UNLV Special Collections,pho024853,"Beckley family, various (negative)",https://special.library.unlv.edu/ark%3A/62930/d1tb0z194,,P.46,Yes,Yes,,,Families; Beckley Family
UNLV Special Collections,Pho024864-003,"Beckley family, various",https://special.library.unlv.edu/node/342440,,P.46,Yes,Yes,,,Families; Beckley Family; album; dress; family; people; women
UNLV Special Collections,Pho024864,"Beckley family, various",https://special.library.unlv.edu/node/342441,,P.46,Yes,Yes,,,Families; Beckley Family
UNLV Special Collections,Pho024781,"Will Beckley inside store, 1908 (hats)",https://special.library.unlv.edu/ark%3A/62930/d1445hj8m,,P.46,Yes,Yes,,,Will Beckley; Beckley Family; 1910s Fashion
